"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Analise_Trocas.php", "PHP", 73, 0, 0, 13, 86
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_Equipe.php", "PHP", 87, 0, 0, 5, 92
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_Escala.php", "PHP", 0, 0, 0, 1, 1
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_TipoEscala.php", "PHP", 23, 0, 0, 4, 27
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_Troca.php", "PHP", 80, 0, 0, 7, 87
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_Turnos.php", "PHP", 40, 0, 0, 4, 44
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_TurnosFunc.php", "PHP", 66, 0, 0, 10, 76
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Edicao_Equipe.php", "PHP", 57, 0, 0, 19, 76
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Edicao_SelecionarTurnos.php", "PHP", 26, 0, 0, 1, 27
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Edicao_SelecionarUsuario.php", "PHP", 56, 0, 1, 8, 65
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Edicao_Usuario.php", "PHP", 59, 0, 0, 7, 66
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Edicao_turno.php", "PHP", 37, 0, 0, 4, 41
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Equipe.php", "PHP", 27, 0, 0, 6, 33
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Equipes.php", "PHP", 35, 0, 0, 4, 39
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Escala.php", "PHP", 151, 0, 0, 22, 173
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\RegistroUsuario.php", "PHP", 59, 0, 0, 9, 68
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Trocas_Recebidas.php", "PHP", 59, 0, 2, 6, 67
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\css\style.css", "CSS", 0, 12, 0, 0, 12
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\css\style_Form.css", "CSS", 0, 24, 0, 0, 24
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\css\style_escala.css", "CSS", 0, 33, 0, 0, 33
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\css\style_global.css", "CSS", 0, 3, 0, 0, 3
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\css\style_index.css", "CSS", 0, 32, 0, 1, 33
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\css\style_login.css", "CSS", 0, 45, 0, 0, 45
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\index.php", "PHP", 33, 0, 0, 1, 34
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\login.php", "PHP", 19, 0, 0, 0, 19
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\InsertConfirmacaoTroca.php", "PHP", 65, 0, 0, 13, 78
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\InsertEquipe.php", "PHP", 153, 0, 0, 10, 163
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\InsertTipoEscala.php", "PHP", 7, 0, 0, 3, 10
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\InsertTroca.php", "PHP", 46, 0, 0, 11, 57
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\InsertTurnos.php", "PHP", 27, 0, 0, 9, 36
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\InsertUsuario.php", "PHP", 50, 0, 0, 15, 65
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\Login_SenhaVerify.php", "PHP", 10, 0, 0, 2, 12
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\UpdateEquipe.php", "PHP", 65, 0, 0, 8, 73
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\UpdateTurno.php", "PHP", 35, 0, 0, 4, 39
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\UpdateUsuario.php", "PHP", 68, 0, 0, 8, 76
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\loginsession.php", "PHP", 52, 0, 10, 8, 70
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\loginverify.php", "PHP", 9, 0, 3, 1, 13
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\logout.php", "PHP", 6, 0, 1, 1, 8
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\controller\statusDes.php", "PHP", 43, 0, 0, 3, 46
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\php\inc\coneccao.php", "PHP", 8, 0, 0, 3, 11
"Total", "-", 1631, 149, 17, 231, 2028